file,page_num,line_num,text,split_ws,split_we,lang,lang_score,perplex,categ
CTX201504033,4,3,"3. Historie lokality Ves poprvé písemnými prameny zmiňovaná v roce 1169, tehdy ji král Vladislav daroval manětínským johanitům. Roku 1420 získal ves Bohuslav ze Švamberka, k jejímu zániku došlo v průběhu husitských válek, tehdy byla zničena celá ves. Do poloviny 16. století bylo ze vsi obnoveno pouze 10 usedlostí. Pánům ze Švamberka patřila ves po celé 15. století až druhé poloviny 16. století. Roku 1587 ji prodali Jeronýmovi Hrobčickému na Manětíně. V  třicetiletéprůběhu  války  takžezanikly další 3 usedlosti,  v roce 1654 zde bylo pouhých sedm statků (Bukačová, Fák, Foud 1996, 77).",,,ces_Latn,1.0000,240.98,Clear
CTX201504033,4,4,4. Popis nálezové situace Ve výkopech bylo patrné pouze rozhraní vyrovnání plochy místní komunikace a navětralého podloží pod tímto vyrovnáním. Archeologický dohled  byl  ukončen fotografickou dokumentací plochy výkopů.,,,ces_Latn,1.0000,255.08,Clear
CTX201504033,4,5,"5. Závěr Archeologický  dohled  byl  negativní.  Výzkum  byl  ukončen  fotografickou dokumentací, žádně movité artefakty nebyly nalezeny.",,,ces_Latn,1.0000,312.05,Clear
CTX201504033,4,6,"6. Literatura Bukačová, I. - Fák, J. - Foud, K. 1996 : Severní Plzeňsko I. Historicko-turistický průvodce č. 6 ,",,,ces_Latn,0.9849,189.18,Clear
CTX201504033,4,7,str.77.,,,eng_Latn,0.3514,187.84,Noisy
CTX201504033,5,1,7. Obrazová příloha: Obr. 1 - Satelitní snímek se zájmovým územím,,,ces_Latn,1.0000,214.30,Clear
CTX201504033,5,2,Obr. 2 - Situace po příjezdu na lokalitu  Obr. 3 - Situace po příjezdu na lokalitu,,,ces_Latn,1.0000,46.18,Clear
CTX201504033,5,3,Obr. 4 - Detail výkopu  Obr. 5 - Profil výkopu,,,slk_Latn,0.9170,139.12,Noisy
CTX201504033,6,1,LIST ZÁCHRANNÉHO ARCHEOLOGICKÉHO VÝZKUMU,,,ces_Latn,0.9674,665.60,Clear
CTX201504033,6,2,"Číslo akce: 27853  Datum předání OZV, ZS: 20.3.2012",,,ces_Latn,1.0000,729.71,Clear
CTX201504033,6,3,"Lokalizace: Pláně u Plas Lokalita: Pláně u Plas Číslo parcely/ číslo popisné: ppč. 1960/2, 2030",,,ces_Latn,0.9992,285.28,Clear
CTX201504033,6,4,Katastrální území: Pláně u Plas  Obec: Pláně  Okres: Plzeň-sever,,,ces_Latn,1.0000,350.27,Clear
CTX201504033,6,5,"Objednatel: Chládek & Tintěra, a.s.  Objednávka: Ano",,,ces_Latn,0.9974,352.45,Clear
CTX201504033,6,6,Adresa: Nerudova 1022/16 412 01 Litoměřice Kontaktní osoba: Pavel Burda,,,ces_Latn,0.9657,989.74,Clear
CTX201504033,6,7,Název stavební akce: Pokládka kNN pro č.p. 12,,,ces_Latn,1.0000,759.47,Clear
CTX201504033,6,9,Vedoucí výzkumu: Daniel Stráník,,,ces_Latn,0.9999,553.24,Clear
CTX201504033,6,11,5,,,N/A,0,0,Non-text
CTX201504033,7,13,6,,,N/A,0,0,Non-text
CTX201504033,6,10,Charakteristika pozitivně narušených situací 20.3.2012 ANO NE  NE  1  2  38,,,ces_Latn,0.9992,381.03,Clear
CTX201504033,7,1,"Muzeum a galerie severního Plzeňska MARIÁNSKÁ TÝNICE Mariánská Týnice 1, 331 41 Královice, tel: 373 396 410",,,ces_Latn,0.9916,409.67,Clear
CTX201504033,7,2,EXPERTNÍ LIST KE STAVBĚ,,,ces_Latn,1.0000,7868.02,Clear
CTX201504033,7,3,Dokument je určen pro investora stavby jako doklad realizovaného záchranného archeologického výzkumu a je formou zprávy o výsledcích výzkumu. Je nedílnou součástí konkrétní stavební akce. V souvislosti s jinou stavební aktivitou je neplatný !,,,ces_Latn,0.9998,238.79,Clear
CTX201504033,7,4,"ČÍSLO AKCE: 27853 LOKALITA: Pláně u Plas KATASTRÁLNÍ ÚZEMÍ: Pláně u Plas OBEC: Pláně u Plas OKRES: Plzeň-sever PARCELNÍ ČÍSLO: ppč. 1960/2, 2030 ČÍSLO POPISNÉ: KOORDINÁTY: JTSK: -823896.637,-1046622.571; -823890.578,-1046622.601; -823890.527,-1046622.831; -823896.366,-1046622.831; -823896.116,-1046629.401; -823896.336,-1046629.441",,,ces_Latn,0.9555,54.13,Clear
CTX201504033,7,5,"INVESTOR: Chládek & Tintěra, a.s. DODAVATEL: Muzeum a galerie severního Plzeňska Mariánská Týnice",,,ces_Latn,0.9988,365.49,Clear
CTX201504033,7,6,NÁZEV A DRUH STAVBY: Pokládka kNN pro č.p. 12,,,ces_Latn,1.0000,522.47,Clear
CTX201504033,7,7,DOBA STAVBY: 20.3.2012,,,ces_Latn,0.7192,269.59,Noisy
CTX201504033,7,8,forma záchranného archeologického výzkumu:,,,ces_Latn,0.9729,395.36,Clear
CTX201504033,7,9,PŘEDSTIHOVÝ  ZÁCHRANNÝ  DOHLED,,,ces_Latn,1.0000,506.19,Clear
CTX201504033,7,10,VÝSLEDEK: Archeologický dohled byl negativní.,,,ces_Latn,1.0000,643.97,Clear
CTX201504033,7,11,ÚZEMÍ ZASAŽENÉ STAVEBNÍ ČINNOSTÍ POSOUDIL: Mgr. Daniel Stráník,,,ces_Latn,0.9973,507.07,Clear
CTX201504033,7,12,DATUM:  20.4.2012  PODPIS:,,,slv_Latn,0.4267,400.69,Trash
