file,page_num,line_num,gold_categ,gold_source
CTX194502993A,13,1,Clear,issue30_508
CTX194503132,1,51,Clear,issue30_508
CTX194600842,1,27,Noisy,issue30_508
CTX194603886,1,1,Clear,issue30_508
CTX194604088,1,1,Clear,issue30_508
CTX194604306,7,13,Clear,issue30_508
CTX194604306,18,7,Noisy,issue30_508
CTX194604309,42,5,Clear,issue30_508
CTX194604313,66,25,Clear,issue30_508
CTX194604320,26,1,Clear,issue30_508
CTX194604320A,21,7,Noisy,issue30_508
CTX194604327,20,105,Trash,issue30_508
CTX194607858,66,2,Noisy,issue30_508
CTX194702131,14,12,Noisy,issue30_508
CTX194707362,5,26,Clear,issue30_508
CTX194707364A,31,45,Clear,issue30_508
CTX194707430,1,1,Clear,issue30_508
CTX194802267,12,9,Clear,issue30_508
CTX194802473,5,20,Noisy,issue30_508
CTX194902125,19,110,Clear,issue30_508
CTX194902125A,50,83,Clear,issue30_508
CTX195007020,1,10,Clear,issue30_508
CTX195007980,1,17,Noisy,issue30_508
CTX195105266,23,1,Noisy,issue30_508
CTX195105376,1,21,Clear,issue30_508
CTX195105604,14,120,Clear,issue30_508
CTX195105615,3,33,Clear,issue30_508
CTX195200220,9,1,Clear,issue30_508
CTX195200353,1,26,Clear,issue30_508
CTX195200398,2,74,Noisy,issue30_508
CTX195200741B,8,3,Clear,issue30_508
CTX195200913,23,9,Trash,issue30_508
CTX195202308,4,32,Noisy,issue30_508
CTX195204553,1,11,Clear,issue30_508
CTX195205289,44,11,Clear,issue30_508
CTX195205727,2,32,Clear,issue30_508
CTX195205739,5,30,Noisy,issue30_508
CTX195300337,83,4,Clear,issue30_508
CTX195300575,1,5,Clear,issue30_508
CTX195300662,9,31,Clear,issue30_508
CTX195301436,7,7,Clear,issue30_508
CTX195302423,12,15,Clear,issue30_508
CTX195304432,10,13,Clear,issue30_508
CTX195305014,1,18,Clear,issue30_508
CTX195305190,2,16,Trash,issue30_508
CTX195400059B,40,1,Clear,issue30_508
CTX195603573,23,35,Clear,issue30_508
CTX195701309,1,11,Clear,issue30_508
CTX195703513,1,17,Trash,issue30_508
CTX195705013,38,85,Clear,issue30_508
CTX195800282,6,48,Clear,issue30_508
CTX195800740,9,18,Clear,issue30_508
CTX195805553,13,10,Clear,issue30_508
CTX196001290,247,28,Clear,issue30_508
CTX196005518,74,269,Noisy,issue30_508
CTX196006152,24,25,Clear,issue30_508
CTX196006406B,5,142,Clear,issue30_508
CTX196100550A,101,20,Clear,issue30_508
CTX196102007,1,9,Noisy,issue30_508
CTX196106505A,125,5,Noisy,issue30_508
CTX196106632,5,29,Clear,issue30_508
CTX196106883,1,19,Noisy,issue30_508
CTX196203350A,11,5,Clear,issue30_508
CTX196206370,1,12,Noisy,issue30_508
CTX196206485,1,17,Clear,issue30_508
CTX196303026,1,17,Noisy,issue30_508
CTX196303082,132,88,Clear,issue30_508
CTX196305302,1,17,Clear,issue30_508
CTX196407149,18,26,Clear,issue30_508
CTX196407192,71,312,Trash,issue30_508
CTX196507610,2,59,Clear,issue30_508
CTX196703423D,19,21,Clear,issue30_508
CTX196705420C,42,65,Clear,issue30_508
CTX196706164,130,69,Trash,issue30_508
CTX196706503A,70,15,Clear,issue30_508
CTX196805740,43,125,Clear,issue30_508
CTX196805840A,67,68,Trash,issue30_508
CTX196806061G,40,50,Clear,issue30_508
CTX196900060B,42,301,Noisy,issue30_508
CTX196901194,11,9,Clear,issue30_508
CTX196901691,55,221,Clear,issue30_508
CTX196902446,70,14,Clear,issue30_508
CTX196905372,14,44,Clear,issue30_508
CTX197004816A,106,3,Noisy,issue30_508
CTX197006009B,41,1,Noisy,issue30_508
CTX197006330,24,82,Clear,issue30_508
CTX197102582,5,4,Clear,issue30_508
CTX197106439A,18,23,Clear,issue30_508
CTX197106489C,10,14,Trash,issue30_508
CTX197106489D,9,22,Noisy,issue30_508
CTX197203534,252,38,Trash,issue30_508
CTX197205186,145,44,Noisy,issue30_508
CTX197206113D,2,14,Noisy,issue30_508
CTX197207080,1,31,Clear,issue30_508
CTX197305366,1,36,Clear,issue30_508
CTX197305833,31,40,Clear,issue30_508
CTX197305835,23,26,Clear,issue30_508
CTX197305844,15,9,Clear,issue30_508
CTX197305852,7,14,Clear,issue30_508
CTX197306342,9,1,Clear,issue30_508
CTX197306343,1,1,Clear,issue30_508
CTX197306914,4,8,Clear,issue30_508
CTX197306939,41,4,Clear,issue30_508
CTX197306955,1,14,Clear,issue30_508
CTX197307656,1,17,Clear,issue30_508
CTX197401664,21,16,Clear,issue30_508
CTX197401672,39,23,Clear,issue30_508
CTX197401711,3,7,Noisy,issue30_508
CTX197401739,35,4,Noisy,issue30_508
CTX197403180,2,2,Clear,issue30_508
CTX197408817,161,48,Trash,issue30_508
CTX197601517,149,16,Trash,issue30_508
CTX197606874,2,5,Clear,issue30_508
CTX197606883,54,8,Clear,issue30_508
CTX197704241A,9,18,Clear,issue30_508
CTX198001657,86,4,Clear,issue30_508
CTX198002083,75,54,Clear,issue30_508
CTX198002086,43,47,Noisy,issue30_508
CTX198002476,17,26,Clear,issue30_508
CTX198005658,1,88,Trash,issue30_508
CTX198007229B,41,16,Clear,issue30_508
CTX198101373,20,3,Clear,issue30_508
CTX198101541,37,103,Noisy,issue30_508
CTX198101625,56,222,Noisy,issue30_508
CTX198102227,22,161,Trash,issue30_508
CTX198105374,177,1554,Trash,issue30_508
CTX198203963,1,4,Clear,issue30_508
CTX198302416,94,51,Clear,issue30_508
CTX198303365,4,138,Trash,issue30_508
CTX198400868,3,22,Trash,issue30_508
CTX198401467,33,92,Clear,issue30_508
CTX198401467A,5,111,Trash,issue30_508
CTX198401467A,26,22,Clear,issue30_508
CTX198401467A,184,42,Clear,issue30_508
CTX198402049,3,10,Clear,issue30_508
CTX198500392,1,31,Noisy,issue30_508
CTX198503643,40,8,Noisy,issue30_508
CTX198504350,1,14,Noisy,issue30_508
CTX198602033,6,38,Noisy,issue30_508
CTX198802097,85,74,Noisy,issue30_508
CTX198802104,114,20,Trash,issue30_508
CTX198802104,137,39,Trash,issue30_508
CTX198802104B,103,19,Clear,issue30_508
CTX198802580,43,16,Noisy,issue30_508
CTX198900368,17,24,Clear,issue30_508
CTX198901592,445,42,Clear,issue30_508
CTX198903723,35,28,Clear,issue30_508
CTX199000110,7,21,Noisy,issue30_508
CTX199002218,1,15,Trash,issue30_508
CTX199003028B,36,44,Clear,issue30_508
CTX199003588,37,74,Clear,issue30_508
CTX199004124,39,225,Clear,issue30_508
CTX199004411,34,86,Clear,issue30_508
CTX199100776,1,58,Trash,issue30_508
CTX199103314A,25,2,Trash,issue30_508
CTX199103913J,2,34,Clear,issue30_508
CTX199104170C,66,36,Clear,issue30_508
CTX199104194,2,16,Clear,issue30_508
CTX199202791,25,206,Trash,issue30_508
CTX199203991B,9,11,Clear,issue30_508
CTX199204163,4,25,Trash,issue30_508
CTX199401824,1,57,Clear,issue30_508
CTX199401929,56,34,Clear,issue30_508
CTX199601555C,34,70,Clear,issue30_508
CTX199605570,20,89,Clear,issue30_508
CTX199605693,157,99,Trash,issue30_508
CTX199605695,78,53,Clear,issue30_508
CTX199706786,27,237,Noisy,issue30_508
CTX199801820,13,284,Clear,issue30_508
CTX199803815H,41,7,Trash,issue30_508
CTX199805488,16,50,Clear,issue30_508
CTX199902783,5,71,Noisy,issue30_508
CTX199904249,451,19,Clear,issue30_508
CTX199906400,38,4,Clear,issue30_508
CTX200008592,16,42,Trash,issue30_508
CTX200009186,58,117,Noisy,issue30_508
CTX200104176,6,171,Clear,issue30_508
CTX200201809D,659,91,Clear,issue30_508
CTX200501000,492,95,Clear,issue30_508
CTX200501000,689,72,Clear,issue30_508
CTX200508902,8,154,Clear,issue30_508
CTX200604082,4,92,Trash,issue30_508
CTX200702273,96,20,Trash,issue30_508
CTX200710049,246,82,Clear,issue30_508
CTX200710049,486,40,Clear,issue30_508
CTX200712183,3,82,Clear,issue30_508
CTX200712583,96,17,Clear,issue30_508
CTX200808540A,354,17,Clear,issue30_508
CTX200812710,76,243,Clear,issue30_508
CTX200908088A,108,97,Clear,issue30_508
CTX201001901,1431,46,Clear,issue30_508
CTX201101043,12,81,Clear,issue30_508
CTX201103652,63,340,Clear,issue30_508
CTX201302748,16,273,Noisy,issue30_508
CTX201303020,523,274,Clear,issue30_508
CTX201405865A,349,30,Trash,issue30_508
CTX201601552,23,21,Clear,issue30_508
CTX201604006,984,332,Clear,issue30_508
CTX201703691,149,287,Trash,issue30_508
CTX201750130B,75,53,Noisy,issue30_508
CTX202250021,11,186,Clear,issue30_508
CTX202250021,15,196,Clear,issue30_508
CTX202250021,33,180,Clear,issue30_508
CTX202250022,3,268,Clear,issue30_508
CTX202250022,15,211,Clear,issue30_508
CTX202250022,39,86,Clear,issue30_508
CTX202250022,48,98,Clear,issue30_508
CTX202250022,61,86,Clear,issue30_508
CTX202250027,5,136,Clear,issue30_508
CTX202250027,7,18,Clear,issue30_508
CTX202250027,11,130,Clear,issue30_508
MTX194501138,1,2,Clear,issue30_508
MTX194600452,1,11,Clear,issue30_508
MTX194600465,1,12,Clear,issue30_508
MTX194600879,1,1,Clear,issue30_508
MTX194601590,1,8,Clear,issue30_508
MTX194601850,1,9,Clear,issue30_508
MTX194602208,1,3,Noisy,issue30_508
MTX194602429,6,28,Trash,issue30_508
MTX194700118,1,4,Noisy,issue30_508
MTX194700282,1,7,Clear,issue30_508
MTX194700329,1,9,Clear,issue30_508
MTX194700404,1,7,Trash,issue30_508
MTX194700464,1,6,Noisy,issue30_508
MTX194700591,12,18,Clear,issue30_508
MTX194700591,18,4,Noisy,issue30_508
MTX194700592,36,8,Clear,issue30_508
MTX194701271,4,14,Clear,issue30_508
MTX194701276,1,15,Clear,issue30_508
MTX194701732,1,9,Clear,issue30_508
MTX194701949,8,6,Noisy,issue30_508
MTX194800308,1,2,Noisy,issue30_508
MTX194800440,1,19,Noisy,issue30_508
MTX194800717,4,12,Noisy,issue30_508
MTX194800761,1,34,Clear,issue30_508
MTX194800922,3,19,Clear,issue30_508
MTX194800939,2,40,Clear,issue30_508
MTX194801331,7,10,Clear,issue30_508
MTX195000372,8,54,Clear,issue30_508
MTX195000372,17,38,Clear,issue30_508
MTX195000570,2,36,Clear,issue30_508
MTX195000577,3,30,Clear,issue30_508
MTX195000583,4,54,Clear,issue30_508
MTX195000830,5,2,Clear,issue30_508
MTX195100544,65,34,Clear,issue30_508
MTX195101084,1,15,Trash,issue30_508
MTX195200746,4,15,Clear,issue30_508
MTX195201785,22,24,Trash,issue30_508
MTX195202711,1,8,Clear,issue30_508
MTX195202711,1,10,Trash,issue30_508
MTX195203163,2,25,Noisy,issue30_508
MTX195203199,5,616,Trash,issue30_508
MTX195400366b,117,25,Noisy,issue30_508
MTX195400366b,129,53,Trash,issue30_508
MTX195401664,193,62,Trash,issue30_508
MTX195401664,201,103,Noisy,issue30_508
MTX195500739,75,1,Trash,issue30_508
MTX195701477,1,1,Noisy,issue30_508
MTX195702043,3,2,Clear,issue30_508
MTX195702072,4,18,Clear,issue30_508
MTX195902000,1,38,Noisy,issue30_508
MTX195902428,9,76,Clear,issue30_508
MTX195903213,13,7,Clear,issue30_508
MTX196002366,1,4,Trash,issue30_508
MTX196002972,44,15,Clear,issue30_508
MTX196101301,119,16,Clear,issue30_508
MTX196202246,49,11,Noisy,issue30_508
MTX196202246,51,2,Noisy,issue30_508
MTX196202246,66,8,Noisy,issue30_508
MTX196202246,112,17,Noisy,issue30_508
MTX196202246,114,8,Noisy,issue30_508
MTX196202246a,88,12,Noisy,issue30_508
MTX196202246a,231,19,Clear,issue30_508
MTX196202246a,234,2,Clear,issue30_508
MTX196202246a,288,10,Clear,issue30_508
MTX196202246a,324,45,Clear,issue30_508
MTX196202246a,338,9,Clear,issue30_508
MTX196400279,76,22,Clear,issue30_508
MTX196400279,159,98,Trash,issue30_508
MTX196402459,118,216,Trash,issue30_508
MTX196501592,17,17,Clear,issue30_508
MTX196501592,54,32,Clear,issue30_508
MTX196501592,77,11,Clear,issue30_508
MTX196501592,111,35,Clear,issue30_508
MTX196501592,137,20,Noisy,issue30_508
MTX196700481,17,20,Trash,issue30_508
MTX196700482,26,6,Clear,issue30_508
MTX196700483,52,30,Clear,issue30_508
MTX196801762,23,12,Clear,issue30_508
MTX196900057,124,17,Clear,issue30_508
MTX196900057,125,74,Clear,issue30_508
MTX196901874,1,1,Noisy,issue30_508
MTX196902800,10,85,Clear,issue30_508
MTX196902800,374,4,Clear,issue30_508
MTX197003041,9,36,Noisy,issue30_508
MTX197101517,83,6,Noisy,issue30_508
MTX197101543a,56,1,Clear,issue30_508
MTX197102219,64,77,Clear,issue30_508
MTX197200722,43,105,Trash,issue30_508
MTX197201929,28,22,Clear,issue30_508
MTX197201929,48,88,Noisy,issue30_508
MTX197202075,2,16,Trash,issue30_508
MTX197202075,8,81,Clear,issue30_508
MTX197202075,33,127,Noisy,issue30_508
MTX197202075,37,144,Clear,issue30_508
MTX197202075,474,1,Noisy,issue30_508
MTX197202075a,120,15,Noisy,issue30_508
MTX197202075a,282,9,Clear,issue30_508
MTX197400069,405,68,Clear,issue30_508
MTX197400069,1102,37,Noisy,issue30_508
MTX197600791,1,1,Trash,issue30_508
MTX197701980,12,59,Clear,issue30_508
MTX197701982,51,3,Clear,issue30_508
MTX197801893,4,688,Clear,issue30_508
MTX197801896,216,143,Trash,issue30_508
MTX197801896,438,22,Clear,issue30_508
MTX197801896,548,13,Clear,issue30_508
MTX197801896,609,25,Clear,issue30_508
MTX197900647,156,27,Clear,issue30_508
MTX197902086,159,11,Clear,issue30_508
MTX197902086,159,65,Clear,issue30_508
MTX197902086,161,74,Clear,issue30_508
MTX197902086,165,127,Clear,issue30_508
MTX197902086,167,37,Clear,issue30_508
MTX197902086,170,64,Clear,issue30_508
MTX197902086,187,95,Clear,issue30_508
MTX197902086,190,87,Clear,issue30_508
MTX197902086,190,139,Clear,issue30_508
MTX197902088,6,123,Noisy,issue30_508
MTX198000272,76,39,Clear,issue30_508
MTX198000485,10,399,Clear,issue30_508
MTX198000485,18,562,Clear,issue30_508
MTX198000485,29,471,Trash,issue30_508
MTX198000485,33,703,Trash,issue30_508
MTX198000485,42,419,Trash,issue30_508
MTX198101596,478,7,Clear,issue30_508
MTX198101596,567,32,Clear,issue30_508
MTX198200329,65,21,Clear,issue30_508
MTX198200361,25,7,Clear,issue30_508
MTX198300601,20,20,Trash,issue30_508
MTX198301331,66,110,Trash,issue30_508
MTX198500315,1,19,Noisy,issue30_508
MTX198500694,17,47,Clear,issue30_508
MTX198501581,19,11,Clear,issue30_508
MTX198501581,112,92,Trash,issue30_508
MTX198501582a,6,6,Clear,issue30_508
MTX198501585,42,362,Clear,issue30_508
MTX198700168,17,20,Clear,issue30_508
MTX198700168,33,19,Clear,issue30_508
MTX198700168,82,62,Clear,issue30_508
MTX198701325,249,36,Clear,issue30_508
MTX198701691,11,123,Clear,issue30_508
MTX198701691,17,119,Clear,issue30_508
MTX198701716,3,133,Trash,issue30_508
MTX198701716,3,848,Trash,issue30_508
MTX198701902,48,48,Clear,issue30_508
MTX198800613,22,100,Clear,issue30_508
MTX198801252,2,44,Clear,issue30_508
MTX198801711,2,3,Clear,issue30_508
MTX198901697,1,24,Clear,issue30_508
MTX199000929,105,8,Clear,issue30_508
MTX199000929,119,30,Noisy,issue30_508
MTX199100456,2,10,Clear,issue30_508
MTX199100877a,42,1,Clear,issue30_508
MTX199100877c,114,24,Clear,issue30_508
MTX199200365,9,17,Clear,issue30_508
MTX199200993,8,49,Clear,issue30_508
MTX199201477,17,81,Trash,issue30_508
MTX199201519,76,20,Clear,issue30_508
MTX199300031,66,17,Noisy,issue30_508
MTX199300194,1,61,Clear,issue30_508
MTX199400046,8,15,Clear,issue30_508
MTX199400487,34,64,Clear,issue30_508
MTX199400522,106,21,Clear,issue30_508
MTX199400534,55,109,Clear,issue30_508
MTX199500822,87,108,Clear,issue30_508
MTX199500971,1,56,Trash,issue30_508
MTX199700293,1,38,Trash,issue30_508
MTX199700362,1,45,Noisy,issue30_508
MTX199700375,4,22,Trash,issue30_508
MTX199700630,15,15,Clear,issue30_508
MTX199800024,10,79,Trash,issue30_508
MTX199800027,4,71,Noisy,issue30_508
MTX199800272,4,18,Noisy,issue30_508
MTX199800315,1,18,Trash,issue30_508
MTX199800534,9,125,Clear,issue30_508
MTX199800534,11,41,Noisy,issue30_508
MTX199801053,6,32,Clear,issue30_508
MTX199801395,20,201,Clear,issue30_508
MTX199900301,84,52,Clear,issue30_508
MTX199900306,4,29,Clear,issue30_508
MTX199900639,12,43,Clear,issue30_508
MTX199901140,48,36,Trash,issue30_508
MTX200100610,8,263,Clear,issue30_508
MTX200100936,17,1,Clear,issue30_508
MTX200201272,58,10,Trash,issue30_508
MTX200300587,1517,7,Clear,issue30_508
MTX200400401,22,29,Trash,issue30_508
MTX200400822,1,10,Noisy,issue30_508
MTX200500295,47,354,Clear,issue30_508
MTX200600096c,132,40,Clear,issue30_508
MTX200702625,79,23,Clear,issue30_508
MTX200801102a,123,149,Clear,issue30_508
MTX200901944,142,3,Clear,issue30_508
MTX200906590,2,13,Noisy,issue30_508
MTX201001397,55,181,Clear,issue30_508
MTX201100792,1,13,Clear,issue30_508
MTX201200948,1,8,Trash,issue30_508
MTX201303313,47,448,Clear,issue30_508
MTX201602703,17,13,Clear,issue30_508
MTX201604986,308,132,Clear,issue30_508
MTX201700492,1333,75,Clear,issue30_508
MTX201700714,15,55,Clear,issue30_508
MTX201701005,94,21,Clear,issue30_508
MTX201701422,6,75,Clear,issue30_508
MTX201701635,7,13,Noisy,issue30_508
MTX201800036,33,8,Clear,issue30_508
MTX202000003,21,19,Clear,issue30_508
MTX202000157,81,195,Noisy,issue30_508
MTX202000232,114,23,Clear,issue30_508
MTX202100659,35,213,Clear,issue30_508
MTX202110015,6,13,Clear,issue30_508
MTX202300465,431,40,Trash,issue30_508
MTX202300606,38,128,Noisy,issue30_508
MTX202300696C,502,41,Clear,issue30_508
MTX202300696C,502,89,Clear,issue30_508
MTX202300699B,35,374,Clear,issue30_508
MTX202300699B,54,178,Clear,issue30_508
MTX202310870,3,50,Trash,issue30_508
P009_00015,2,30,Noisy,issue30_508
P009_00024,17,30,Clear,issue30_508
P027_00001_004,37,29,Clear,issue30_508
P027_00001_004,90,15,Clear,issue30_508
P027_00001_005,86,55,Clear,issue30_508
P027_00009_003,263,29,Clear,issue30_508
P027_00009_003,286,22,Clear,issue30_508
P028_00012,29,44,Trash,issue30_508
P028_00020_003,2,75,Trash,issue30_508
P043_00002_007,9,43,Trash,issue30_508
P043_00002_016,75,16,Trash,issue30_508
P043_00005_001,23,3,Clear,issue30_508
CTX195603828,1,1,Clear,calibration_1567
CTX195603828,1,2,Clear,calibration_1567
CTX195603828,1,3,Clear,calibration_1567
CTX195603828,1,4,Clear,calibration_1567
CTX195603828,1,5,Empty,calibration_1567
CTX195603828,1,6,Noisy,calibration_1567
CTX195603828,1,7,Noisy,calibration_1567
CTX195603828,1,8,Clear,calibration_1567
CTX195603828,1,9,Empty,calibration_1567
CTX195603828,1,10,Clear,calibration_1567
CTX195603828,1,11,Clear,calibration_1567
CTX195603828,1,12,Clear,calibration_1567
CTX195603828,1,13,Clear,calibration_1567
CTX195603828,1,14,Clear,calibration_1567
CTX195603828,1,15,Clear,calibration_1567
CTX195603828,1,16,Clear,calibration_1567
CTX195603828,1,17,Empty,calibration_1567
CTX195603828,1,18,Clear,calibration_1567
CTX195603828,1,19,Clear,calibration_1567
CTX195603828,1,20,Clear,calibration_1567
CTX195603828,1,21,Clear,calibration_1567
CTX195603828,1,22,Clear,calibration_1567
CTX195603828,1,23,Clear,calibration_1567
CTX195603828,1,24,Noisy,calibration_1567
CTX195603828,1,25,Clear,calibration_1567
CTX195603828,1,26,Clear,calibration_1567
CTX195603828,1,27,Clear,calibration_1567
CTX195603828,1,28,Clear,calibration_1567
CTX195603828,1,29,Clear,calibration_1567
CTX195603828,1,30,Clear,calibration_1567
CTX195603828,1,31,Clear,calibration_1567
CTX195603828,1,32,Clear,calibration_1567
CTX195603828,1,33,Clear,calibration_1567
CTX195603828,1,34,Clear,calibration_1567
CTX195603828,1,35,Clear,calibration_1567
CTX195603828,1,36,Clear,calibration_1567
CTX195603828,2,1,Clear,calibration_1567
CTX195603828,2,2,Clear,calibration_1567
CTX195603828,2,3,Clear,calibration_1567
CTX195603828,2,4,Clear,calibration_1567
CTX195603828,2,5,Clear,calibration_1567
CTX195603828,2,6,Empty,calibration_1567
CTX195603828,2,7,Clear,calibration_1567
CTX195603828,2,8,Clear,calibration_1567
CTX195704328,1,1,Noisy,calibration_1567
CTX195704328,1,2,Clear,calibration_1567
CTX195704328,1,3,Clear,calibration_1567
CTX195704328,1,4,Empty,calibration_1567
CTX195704328,1,5,Trash,calibration_1567
CTX195704328,1,6,Clear,calibration_1567
CTX195704328,1,7,Empty,calibration_1567
CTX195704328,1,9,Empty,calibration_1567
CTX195704328,1,10,Trash,calibration_1567
CTX195704328,1,11,Clear,calibration_1567
CTX195704328,1,12,Clear,calibration_1567
CTX195704328,1,13,Noisy,calibration_1567
CTX195704328,1,14,Noisy,calibration_1567
CTX195704328,1,15,Empty,calibration_1567
CTX195704328,1,16,Clear,calibration_1567
CTX195704328,1,17,Noisy,calibration_1567
CTX195704328,1,18,Clear,calibration_1567
CTX195704328,1,19,Clear,calibration_1567
CTX195704328,1,20,Clear,calibration_1567
CTX195704328,1,21,Clear,calibration_1567
CTX195704328,1,22,Clear,calibration_1567
CTX195704328,1,23,Clear,calibration_1567
CTX195704328,1,24,Clear,calibration_1567
CTX195704328,1,25,Clear,calibration_1567
CTX195704328,1,26,Empty,calibration_1567
CTX195704328,1,27,Clear,calibration_1567
CTX195704328,1,28,Clear,calibration_1567
CTX195704328,1,29,Clear,calibration_1567
CTX195704328,1,30,Clear,calibration_1567
CTX195704328,1,31,Clear,calibration_1567
CTX195704328,1,32,Clear,calibration_1567
CTX195704328,1,33,Clear,calibration_1567
CTX195704328,1,34,Clear,calibration_1567
CTX195704328,1,35,Clear,calibration_1567
CTX195704328,1,36,Noisy,calibration_1567
CTX195704328,1,37,Clear,calibration_1567
CTX195704328,1,38,Noisy,calibration_1567
CTX195704328,1,39,Clear,calibration_1567
CTX195704328,1,40,Clear,calibration_1567
CTX195704328,1,41,Trash,calibration_1567
CTX195704328,1,42,Clear,calibration_1567
CTX195704328,1,43,Clear,calibration_1567
CTX195704328,1,44,Noisy,calibration_1567
CTX195704328,1,45,Noisy,calibration_1567
CTX195704328,1,46,Noisy,calibration_1567
CTX195704328,2,1,Clear,calibration_1567
CTX195704328,2,2,Empty,calibration_1567
CTX195704328,2,3,Clear,calibration_1567
CTX195704328,2,4,Clear,calibration_1567
CTX196006127,1,1,Clear,calibration_1567
CTX196006127,1,2,Clear,calibration_1567
CTX196006127,1,3,Empty,calibration_1567
CTX196006127,1,4,Clear,calibration_1567
CTX196006127,1,5,Noisy,calibration_1567
CTX196006127,1,6,Noisy,calibration_1567
CTX196006127,1,7,Empty,calibration_1567
CTX196006127,1,9,Noisy,calibration_1567
CTX196006127,1,10,Empty,calibration_1567
CTX196006127,1,11,Clear,calibration_1567
CTX196006127,1,12,Empty,calibration_1567
CTX196006127,1,13,Clear,calibration_1567
CTX196006127,1,14,Clear,calibration_1567
CTX196006127,1,15,Empty,calibration_1567
CTX196006127,1,16,Noisy,calibration_1567
CTX196006127,1,17,Noisy,calibration_1567
CTX196006127,1,18,Clear,calibration_1567
CTX196006127,1,19,Clear,calibration_1567
CTX196006127,1,20,Clear,calibration_1567
CTX196006127,1,21,Clear,calibration_1567
CTX196006127,1,22,Noisy,calibration_1567
CTX196006127,1,23,Trash,calibration_1567
CTX196006127,1,24,Empty,calibration_1567
CTX196006127,1,25,Clear,calibration_1567
CTX196006127,1,26,Clear,calibration_1567
CTX196006127,1,27,Clear,calibration_1567
CTX196006127,1,28,Noisy,calibration_1567
CTX196006127,1,29,Noisy,calibration_1567
CTX196006127,1,30,Empty,calibration_1567
CTX196006127,1,31,Clear,calibration_1567
CTX196006127,1,32,Noisy,calibration_1567
CTX196006127,1,33,Empty,calibration_1567
CTX196006127,1,34,Clear,calibration_1567
CTX196006127,1,35,Trash,calibration_1567
CTX196006127,1,36,Empty,calibration_1567
CTX196006127,1,38,Noisy,calibration_1567
CTX196006127,1,39,Noisy,calibration_1567
CTX196006127,1,40,Noisy,calibration_1567
CTX196006127,1,43,Trash,calibration_1567
CTX196006127,1,44,Noisy,calibration_1567
CTX196006127,1,45,Noisy,calibration_1567
CTX196006127,1,46,Noisy,calibration_1567
CTX196006127,1,47,Noisy,calibration_1567
CTX196006127,1,48,Noisy,calibration_1567
CTX196006127,1,49,Noisy,calibration_1567
CTX196006127,1,50,Noisy,calibration_1567
CTX196006127,1,51,Clear,calibration_1567
