level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
4	2	2	1	1	0	160	278	685	30	-1
5	2	2	1	1	1	160	280	97	22	96.708572	Vrstva
5	2	2	1	1	2	272	280	22	22	96.792747	1:
5	2	2	1	1	3	308	281	101	25	96.541016	ornice,
5	2	2	1	1	4	423	278	90	24	96.312737	tmavě
5	2	2	1	1	5	525	278	92	24	96.347023	hnědá
5	2	2	1	1	6	628	278	74	24	96.772751	hlína
5	2	2	1	1	7	714	287	12	15	96.859772	s
5	2	2	1	1	8	738	278	107	30	96.797546	kořeny.
4	2	2	1	2	0	160	326	702	30	-1
5	2	2	1	2	1	160	328	97	22	96.711472	Vrstva
5	2	2	1	2	2	270	328	24	22	96.506065	2:
5	2	2	1	2	3	309	326	161	24	96.506134	šedohnědá
5	2	2	1	2	4	481	326	74	24	96.506134	hlína
5	2	2	1	2	5	567	335	12	15	96.226227	s
5	2	2	1	2	6	591	326	92	30	96.641716	uhlíky
5	2	2	1	2	7	694	335	16	15	93.202293	a
5	2	2	1	2	8	721	326	141	24	92.350433	mazanicí.
2	2	3	0	0	0	160	372	575	32	-1
3	2	3	1	0	0	160	372	575	32	-1
4	2	3	1	1	0	160	372	575	32	-1
5	2	3	1	1	1	160	376	97	22	96.519989	Vrstva
5	2	3	1	1	2	270	376	24	22	96.969017	3:
5	2	3	1	1	3	308	374	72	30	96.995872	žlutý
5	2	3	1	1	4	387	374	38	30	94.453796	jíl,
5	2	3	1	1	5	438	374	116	30	96.792358	podloží,
5	2	3	1	1	6	567	375	51	23	96.978874	bez
5	2	3	1	1	7	629	372	106	26	96.524414	nálezů.
2	2	4	0	0	0	160	462	682	78	-1
3	2	4	1	0	0	160	462	682	78	-1
4	2	4	1	1	0	160	462	651	30	-1
5	2	4	1	1	1	160	462	119	30	96.319855	Výzkum
5	2	4	1	1	2	289	463	63	23	96.319855	vedl
5	2	4	1	1	3	359	464	52	28	96.695908	Jan
5	2	4	1	1	4	422	462	129	30	96.131264	Novotný,
5	2	4	1	1	5	564	463	101	29	96.762177	kresby
5	2	4	1	1	6	676	463	135	23	96.573837	zhotovila
4	2	4	1	2	0	162	510	680	30	-1
5	2	4	1	2	1	162	512	54	22	96.720123	Eva
5	2	4	1	2	2	228	510	199	24	96.284264	Procházková.
5	2	4	1	2	3	441	510	149	30	96.307175	Děkujeme
5	2	4	1	2	4	602	511	62	23	96.579124	obci
5	2	4	1	2	5	676	510	85	24	96.365967	Horní
5	2	4	1	2	6	772	512	70	22	96.878181	Mez.
2	2	5	0	0	0	808	600	84	19	-1
3	2	5	1	0	0	808	600	84	19	-1
4	2	5	1	1	0	808	600	84	19	-1
5	2	5	1	1	1	808	600	84	19	78.371567	—2—
